AGE,GENDER,MARRIED,EVENT_ATTENDED,DONOR
67,Female,0,Yes,1
62,Female,0,No,1
53,Male,0,Yes,1
27,Female,0,No,0
24,Female,0,No,0
24,Female,0,No,0
73,Female,1,Yes,1
74,Male,0,No,1
55,Female,1,Yes,1
68,Male,0,No,1
25,Female,0,No,1
25,Female,0,Yes,1
29,Female,0,No,0
45,Female,0,No,1
30,Female,0,No,0
30,Female,0,No,0
29,Female,0,No,0
36,Female,0,No,0
36,Male,0,No,0
30,Female,0,No,0
44,Female,0,No,0
30,Female,0,No,0
29,Female,0,No,0
44,Male,0,No,0
31,Female,0,No,0
37,Female,0,No,0
40,Female,1,No,0
51,Female,0,No,0
41,Female,0,No,0
57,Female,1,Yes,1
78,Female,0,Yes,1
43,Female,0,No,0
41,Female,1,No,0
40,Female,1,No,0
35,Female,0,Yes,0
33,Female,0,Yes,0
30,Female,1,No,0
30,Female,0,Yes,0
29,Female,0,No,0
33,Female,1,No,1
30,Female,0,No,0
32,Female,0,No,0
30,Female,0,No,0
41,Female,0,No,0
46,Male,0,No,0
82,Female,1,No,1
83,Female,1,No,1
64,Female,1,No,1
55,Female,1,No,1
69,Female,1,Yes,1
29,Female,0,No,0
29,Female,0,No,0
60,Female,0,No,0
45,Female,0,No,0
74,Female,1,Yes,1
75,Male,1,No,1
50,Male,1,Yes,1
32,Female,0,Yes,0
34,Female,0,No,0
31,Female,0,No,0
63,Female,1,Yes,1
74,Female,1,Yes,1
34,Female,0,No,0
50,Female,0,No,1
68,Male,0,Yes,1
79,Female,1,Yes,1
66,Male,1,No,1
50,Male,0,No,1
68,Male,1,No,1
62,Female,1,No,1
86,Male,1,No,1
32,Female,0,No,0
31,Male,0,No,0
31,Female,0,No,0
77,Female,0,No,1
73,Female,1,No,0
71,Male,1,No,1
74,Female,1,No,0
62,Female,0,No,0
65,Female,0,No,1
83,Female,1,No,1
77,Female,0,No,0
64,Female,1,No,1
74,Female,1,No,1
74,Male,1,No,1
77,Female,1,Yes,1
47,Female,0,No,0
93,Female,1,No,1
58,Female,1,No,1
72,Female,1,No,1
67,Male,1,Yes,1
58,Female,1,No,1
67,Male,0,No,1
57,Female,0,No,1
47,Female,1,No,1
67,Male,1,Yes,1
60,Female,0,No,1
45,Male,0,No,0
68,Female,1,No,1
68,Female,0,Yes,1
53,Male,1,No,1
57,Female,0,No,1
55,Female,1,No,1
58,Female,0,No,1
62,Female,1,Yes,1
85,Female,0,Yes,1
61,Female,1,Yes,1
62,Male,0,Yes,1
84,Male,0,No,1
56,Female,1,No,1
46,Female,1,No,1
72,Female,1,Yes,1
64,Male,0,No,1
74,Female,1,No,1
68,Male,1,No,1
70,Male,0,No,1
46,Female,0,No,1
69,Male,1,Yes,1
75,Male,0,No,1
60,Male,0,Yes,1
58,Female,0,No,1
52,Female,1,Yes,1
46,Female,1,No,1
62,Female,1,No,1
72,Female,1,No,1
71,Female,0,No,1
70,Female,0,No,1
80,Male,1,No,1
75,Female,0,No,1
87,Female,1,Yes,1
44,Female,0,No,1
63,Female,1,No,1
55,Female,1,Yes,1
45,Female,1,Yes,1
57,Male,0,No,1
72,Female,1,No,1
57,Female,1,No,1
60,Female,1,No,1
69,Female,1,No,1
67,Male,0,No,1
64,Female,0,No,1
60,Female,1,No,1
58,Female,0,Yes,1
63,Male,0,No,1
66,Female,0,No,1
63,Female,0,No,1
62,Female,1,No,1
58,Female,1,Yes,1
59,Male,1,No,1
52,Male,0,No,1
55,Male,1,No,1
52,Female,1,Yes,1
68,Male,1,No,1
53,Female,1,No,1
50,Female,1,No,1
70,Female,0,No,1
70,Female,1,No,1
68,Female,1,Yes,1
62,Male,1,Yes,1
46,Female,0,No,1
45,Female,1,No,1
67,Male,1,No,1
64,Female,1,No,1
64,Female,1,No,1
65,Female,1,No,1
66,Female,1,No,1
64,Male,1,Yes,1
57,Female,0,Yes,1
25,Female,0,No,1
27,Female,0,No,1
24,Female,0,No,1
62,Female,1,No,1
61,Female,1,No,1
62,Female,1,No,1
55,Male,1,No,1
78,Male,1,No,1
55,Female,1,Yes,1
53,Female,1,No,1
57,Female,1,Yes,1
60,Female,1,Yes,1
65,Female,1,No,1
60,Female,0,Yes,1
61,Male,0,No,1
75,Female,1,Yes,1
46,Female,0,No,1
60,Male,1,No,1
65,Female,1,Yes,1
67,Male,1,No,1
50,Female,1,No,1
62,Female,1,No,1
62,Male,1,No,1
59,Female,0,Yes,1
59,Female,0,No,1
0,Female,1,No,1
67,Female,1,Yes,1
67,Female,1,Yes,1
63,Female,1,No,1
58,Female,1,No,1
43,Female,0,No,1
41,Female,1,No,1
